,compare,frequency,seed,human_seed,updates,utility,position
193,s_s,5,6666,100,199,0.0116999999999999,4.160606346000004
194,s_s,10,6666,100,99,0.0281,8.854055951999989
195,s_s,20,6666,100,49,0.0472000000000002,17.056230286999988
196,s_s,25,6666,100,39,0.0572000000000003,20.77532878800005
197,s_s,30,6666,100,33,0.0549000000000002,24.604516686000025
198,s_s,35,6666,100,28,0.0687000000000003,26.376769560000035
199,s_s,40,6666,100,24,0.0796,29.34936654500004
200,s_s,45,6666,100,22,0.0767000000000001,33.26294554600003
201,s_s,50,6666,100,19,0.0744000000000001,35.47688930300003
202,s_s,55,6666,100,18,0.0828999999999998,36.96598748000005
203,s_s,60,6666,100,16,0.0789,40.80821912099995
204,s_s,65,6666,100,15,0.0854999999999999,42.23482276999998
205,s_s,70,6666,100,14,0.0964999999999997,37.39591525900002
206,s_s,75,6666,100,13,0.0921999999999997,46.273752109999975
207,s_s,80,6666,100,12,0.1021999999999996,44.50799770800005
208,s_s,90,6666,100,11,0.1001999999999999,48.69509825299996
209,s_s,100,6666,100,9,0.0882999999999998,53.93454529799996
210,s_s,5,7777,100,199,0.0093999999999999,3.8544307439999983
211,s_s,10,7777,100,99,0.0243,8.482003644000004
212,s_s,20,7777,100,49,0.0423000000000002,15.899429091000002
213,s_s,30,7777,100,33,0.0493000000000002,23.887655074999973
214,s_s,40,7777,100,24,0.0675000000000004,27.93822286500003
215,s_s,50,7777,100,19,0.0730000000000002,32.918194686
216,s_s,60,7777,100,16,0.0745000000000001,37.703194132999975
217,s_s,100,7777,100,9,0.0963999999999998,49.38101510700003
218,s_s,5,8888,100,199,0.0078999999999999,2.780442360999998
219,s_s,10,8888,100,99,0.0207,5.944920905000005
220,s_s,20,8888,100,49,0.0405000000000001,11.009066424000007
221,s_s,30,8888,100,33,0.0480000000000002,17.25304476799999
222,s_s,40,8888,100,24,0.0569000000000004,19.275940995
223,s_s,50,8888,100,19,0.0598000000000003,25.559842817999986
224,s_s,60,8888,100,16,0.0706000000000002,29.52542609500002
225,s_s,100,8888,100,9,0.0925999999999996,42.08627855700004
226,s_s,5,9999,100,199,0.0117999999999999,3.5925358589999985
227,s_s,10,9999,100,99,0.026,7.489614346000001
228,s_s,20,9999,100,49,0.0411000000000002,15.11025436299999
229,s_s,30,9999,100,33,0.0495000000000003,21.767785848999992
230,s_s,40,9999,100,24,0.0653000000000003,26.88823934400004
231,s_s,50,9999,100,19,0.0703000000000002,33.09766352700002
232,s_s,60,9999,100,16,0.0685000000000003,37.10842184299998
233,s_s,100,9999,100,9,0.0877999999999998,49.518463235
234,s_s,5,12345,100,199,0.0109999999999999,3.882531316000004
235,s_s,10,12345,100,99,0.027,8.200839388999995
236,s_s,20,12345,100,49,0.0486000000000003,16.117440191000004
237,s_s,30,12345,100,33,0.0593000000000004,22.751087601999945
238,s_s,40,12345,100,24,0.0799000000000001,28.86208878199998
239,s_s,50,12345,100,19,0.0766,33.61482533800001
240,s_s,60,12345,100,16,0.0745000000000002,38.460791268
241,s_s,100,12345,100,9,0.1086999999999999,51.49884138300005
242,s_s,5,67890,100,199,0.0118999999999999,3.954178376
243,s_s,10,67890,100,99,0.0269,8.353678657
244,s_s,20,67890,100,49,0.0456000000000002,16.069910223999994
245,s_s,30,67890,100,33,0.0508000000000002,23.395123519999977
246,s_s,40,67890,100,24,0.0699000000000003,27.77736814400002
247,s_s,50,67890,100,19,0.0701000000000003,36.030133538000015
248,s_s,60,67890,100,16,0.0808999999999999,40.214256434
249,s_s,100,67890,100,9,0.0980999999999997,52.18658012400002
250,s_s_keep,5,1111,100,199,0.0112999999999999,3.3700092950000005
251,s_s_keep,10,1111,100,99,0.0256,7.409347926000008
252,s_s_keep,20,1111,100,49,0.0428000000000002,14.99176461400002
253,s_s_keep,25,1111,100,39,0.0496000000000003,17.80493693499999
254,s_s_keep,30,1111,100,33,0.0469000000000002,21.83158684299998
255,s_s_keep,35,1111,100,28,0.0614000000000004,23.11493681800001
256,s_s_keep,40,1111,100,24,0.0679000000000002,28.421330956999988
257,s_s_keep,45,1111,100,22,0.0737000000000001,30.540616885
258,s_s_keep,50,1111,100,19,0.0717000000000003,34.44278754100003
259,s_s_keep,55,1111,100,18,0.0704000000000002,35.426233612
260,s_s_keep,60,1111,100,16,0.0727000000000002,39.23691387799994
261,s_s_keep,65,1111,100,15,0.0754000000000001,41.04250876299999
262,s_s_keep,70,1111,100,14,0.0821999999999999,36.95032627300001
263,s_s_keep,75,1111,100,13,0.0966999999999997,46.752006586999975
264,s_s_keep,80,1111,100,12,0.0929999999999998,43.19336331799996
265,s_s_keep,90,1111,100,11,0.0903999999999998,47.23732193699996
266,s_s_keep,100,1111,100,9,0.0869000000000001,50.340916791999945
267,s_s_keep,5,2222,100,199,0.0097999999999999,3.176067533999997
268,s_s_keep,10,2222,100,99,0.025,6.734421484000003
269,s_s_keep,20,2222,100,49,0.0411000000000001,13.638513941999992
270,s_s_keep,25,2222,100,39,0.0472000000000002,17.06390784900002
271,s_s_keep,30,2222,100,33,0.0481000000000002,20.99528059999998
272,s_s_keep,35,2222,100,28,0.0583000000000004,22.913254118
273,s_s_keep,40,2222,100,24,0.0633000000000004,26.12277127500001
274,s_s_keep,45,2222,100,22,0.0640000000000004,29.57759079100003
275,s_s_keep,50,2222,100,19,0.0651000000000003,29.88157504900003
276,s_s_keep,55,2222,100,18,0.0734,32.23225611700003
277,s_s_keep,60,2222,100,16,0.0765999999999999,39.374991076
278,s_s_keep,65,2222,100,15,0.0801999999999999,38.93699611899998
279,s_s_keep,70,2222,100,14,0.0705000000000002,35.976635366999965
280,s_s_keep,75,2222,100,13,0.0804,42.55094485400003
281,s_s_keep,80,2222,100,12,0.0890999999999997,39.622139401
282,s_s_keep,90,2222,100,11,0.0917999999999998,42.961657320999976
283,s_s_keep,100,2222,100,9,0.0862000000000001,43.78556453500002
284,s_s_keep,5,4444,100,199,0.0101999999999999,3.1808816160000006
285,s_s_keep,10,4444,100,99,0.0249,6.909921357999998
286,s_s_keep,20,4444,100,49,0.0438000000000002,13.625877849000013
